patient_id,vista_id,mrn,first_name,last_name,middle_name,gender,birthdate,age,race,ethnicity,address,city,state,zip,country,phone,email,marital_status,language,insurance,ssn,smoking_status,alcohol_use,education,employment_status,income,housing_status,sdoh_risk_score,sdoh_risk_factors,community_deprivation_index,access_to_care_score,transportation_access,language_access_barrier,social_support_score,sdoh_care_gaps,genetic_risk_score,genetic_markers,precision_markers,comorbidity_profile,care_plan_total,care_plan_completed,care_plan_overdue,care_plan_scheduled,deceased,death_date,death_primary_cause
4707eec7-8552-45af-8dbf-5951be860873,8178605,MRN418185,Amanda,Gomez,A,other,2006-10-13,19,White,Hispanic or Latino,637 Justin Motorway,Lake Johnfurt,OK,89815,US,791.388.5490,jacobsullivan@example.net,Separated,Spanish,Medicare,305-85-4484,Former,Occasional,None,Retired,170042,Stable,0.16,"[""limited_education""]",0.32,-0.02,personal_vehicle,false,0.0,[],0.0,[],[],[],0,0,0,0,false,,
df920a8a-1089-4b5a-ae8b-bb90037cc742,269661,MRN667674,Sharon,Allen,H,other,2011-10-12,14,Black,Hispanic or Latino,56542 Kimberly Freeway Suite 883,New Kenneth,NH,15951,US,(218)338-9722x4278,gonzalezerica@example.org,Separated,Vietnamese,Uninsured,020-27-6559,Never,Heavy,None,Student,0,Assisted Living,0.36,"[""limited_education"", ""heavy_alcohol_use""]",0.78,0.02,limited,false,-0.18,[],1.1,"[{""name"": ""Familial_Hypercholesterolemia"", ""conditions"": [""Heart Disease""], ""screenings"": [""Lipid_Panel""]}]",[],[],0,0,0,0,false,,
32e43859-72b4-4e2f-8339-544d2bb39f70,8018983,MRN224339,Tiffany,Vega,J,other,1924-11-02,101,Hispanic,Not Hispanic or Latino,952 Zachary Extension,New Tammyfurt,AL,58998,US,7187125976,brent78@example.org,Divorced,Spanish,Medicaid,240-80-7401,Former,Never,Primary,Disabled,164223,Stable,0.2,"[""limited_education""]",0.5,-0.14,public_transit,false,0.18,[],0.0,[],[],"[{""primary"": ""Hypertension"", ""associated"": ""Stroke"", ""probability"": 0.2}, {""primary"": ""Hypertension"", ""associated"": ""Diabetes"", ""probability"": 0.25}]",0,0,0,0,true,2017-10-10,"Heart failure, unspecified"
d9d0b282-34bc-4e35-99e5-6acd38baae1d,9035488,MRN974507,Kyle,Martinez,A,male,1985-10-18,40,Hispanic,Hispanic or Latino,121 Rebecca Island,Lake Albert,HI,36651,US,605-893-8185,hayden87@example.com,Widowed,Vietnamese,Medicare,485-67-7853,Current,Never,Master,Student,17270,Temporary,0.69,"[""low_income"", ""housing_instability"", ""smoker""]",0.18,0.01,personal_vehicle,false,-0.06,[],0.0,[],[],[],0,0,0,0,false,,
44a62f93-4d99-41a5-8406-24d38d66e765,5144176,MRN752204,David,Simpson,R,other,2012-10-11,13,Native American,Not Hispanic or Latino,82270 Lori Village Suite 144,South Mark,MT,35980,US,001-844-524-4838x11716,youngjulia@example.net,Divorced,Vietnamese,Private,678-35-9126,Former,Regular,None,Student,0,Stable,0.29,"[""limited_education""]",0.93,-0.3,personal_vehicle,false,-0.13,[],0.0,[],[],[],0,0,0,0,true,2015-10-11,"Malignant neoplasm, unspecified"
06dbc23e-7512-417f-832b-da51d75e3166,9919571,MRN142857,Christopher,Miller,I,other,1996-10-15,29,Black,Not Hispanic or Latino,6304 Brown Estate Suite 699,New Christopher,WA,87477,US,001-928-235-6145x46823,rebeccafranklin@example.net,Married,English,Private,018-29-4670,Current,Occasional,Secondary,Employed,135693,Assisted Living,0.42,"[""limited_education"", ""smoker""]",0.6,0.19,limited,false,0.18,[],0.0,[],[],[],0,0,0,0,false,,
d90051c3-db92-4eba-898f-e32b5de6cf4d,2644019,MRN513641,Zachary,Johnson,E,other,1938-10-30,87,Hispanic,Hispanic or Latino,58435 Nathaniel Expressway Suite 801,Nathanmouth,MA,27400,US,(651)844-2753x55779,lindajenkins@example.com,Married,Chinese,Uninsured,100-81-3387,Former,Regular,High School,Unemployed,189603,Temporary,0.42,"[""housing_instability"", ""unemployed""]",0.09,-0.27,personal_vehicle,true,0.11,"[""behavioral_health_followup""]",0.0,[],[],[],0,0,0,0,false,,
e2afa96f-1211-475f-b923-fd04b5c4eaf6,2194868,MRN651640,Kathleen,Schwartz,A,male,2010-10-12,15,Other,Not Hispanic or Latino,7334 Grant Plains,North Juan,WA,95079,US,001-433-973-3520x77657,patrickcantu@example.com,Separated,Spanish,Private,631-05-3705,Never,Never,None,Student,0,Assisted Living,0.18,"[""limited_education""]",0.41,-0.14,public_transit,false,0.12,[],0.0,[],[],[],0,0,0,0,false,,
c75800cd-3609-493c-aac6-680824993816,6237216,MRN442445,Sharon,Hodge,L,male,1966-10-23,59,Hispanic,Not Hispanic or Latino,64568 Thomas Glen Suite 152,Port Kimberlyburgh,WI,20978,US,+1-354-319-2413x1800,garyflores@example.com,Separated,Spanish,Private,016-40-1370,Current,Heavy,Associate,Disabled,64264,Homeless,0.57,"[""housing_instability"", ""smoker"", ""heavy_alcohol_use""]",0.08,-0.13,public_transit,false,-0.18,[],0.0,[],[],[],3,0,3,0,true,2025-10-08,Atherosclerotic heart disease of native coronary artery without angina pectoris
258d1419-43c0-4ef5-b544-21d5c9d96415,2375701,MRN876413,Kathleen,Nunez,T,other,1994-10-16,31,Other,Not Hispanic or Latino,2065 Love Bridge Suite 313,Morganchester,LA,85476,US,(316)871-5005x829,richard03@example.net,Widowed,English,Uninsured,706-32-6379,Never,Heavy,Master,Retired,65223,Stable,0.11,"[""heavy_alcohol_use""]",0.03,0.02,personal_vehicle,false,0.03,[],0.0,[],[],"[{""primary"": ""Obesity"", ""associated"": ""Hypertension"", ""probability"": 0.4}, {""primary"": ""Obesity"", ""associated"": ""Heart Disease"", ""probability"": 0.25}]",3,0,3,0,false,,
